                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  2.163,                 1.1863,                 1.3089,                0.74148,                0.63515,                 0.7056,                 0.3814,                  1.713,                0.95076,                 1.1469,               0.070015,              0.0033317,              0.0033317
                      1,                 1.7233,                0.93777,                 1.1308,                 0.8049,                0.69916,                0.77958,                0.44733,                 1.5743,                0.84684,                 1.1005,               0.039949,              0.0065991,              0.0065991
                      2,                  1.661,                0.88773,                 1.1078,                0.82077,                0.71691,                0.80361,                0.47087,                 1.5223,                0.80102,                 1.0736,              0.0098166,              0.0098004,              0.0098004
                      3,                 1.6107,                0.84744,                 1.0875,                0.84349,                0.73586,                0.82123,                0.49078,                 1.4678,                0.76945,                 1.0574,               0.009703,               0.009703,               0.009703
                      4,                 1.5817,                0.82441,                 1.0779,                0.84281,                0.75225,                0.82675,                0.49241,                 1.4759,                0.74315,                 1.0559,               0.009703,               0.009703,               0.009703
                      5,                 1.5592,                0.80741,                 1.0703,                0.84972,                0.75906,                0.83486,                0.50229,                 1.4493,                0.72547,                 1.0433,               0.009604,               0.009604,               0.009604
                      6,                 1.5476,                 0.7938,                 1.0635,                 0.8615,                0.76542,                  0.848,                0.51862,                 1.4273,                0.71723,                 1.0379,               0.009505,               0.009505,               0.009505
                      7,                 1.5337,                0.78214,                 1.0603,                0.85331,                0.75638,                0.83292,                0.50716,                 1.4445,                0.71729,                 1.0386,               0.009406,               0.009406,               0.009406
                      8,                 1.5262,                0.77433,                 1.0554,                0.85985,                0.76973,                0.85046,                0.51733,                 1.4253,                0.70109,                  1.036,               0.009307,               0.009307,               0.009307
                      9,                 1.5233,                0.77467,                 1.0567,                0.86245,                0.77113,                0.84468,                0.51545,                 1.4155,                0.69832,                 1.0354,               0.009208,               0.009208,               0.009208
                     10,                 1.5159,                0.76237,                  1.053,                0.85979,                 0.7693,                0.84654,                0.52058,                 1.4128,                0.68855,                 1.0295,               0.009109,               0.009109,               0.009109
                     11,                 1.5029,                0.75729,                 1.0479,                0.86386,                0.78233,                 0.8557,                0.52464,                 1.4023,                0.68181,                  1.023,                0.00901,                0.00901,                0.00901
                     12,                 1.4995,                0.75074,                  1.047,                0.86345,                0.78423,                0.85704,                0.52771,                 1.3962,                0.68531,                  1.019,               0.008911,               0.008911,               0.008911
                     13,                 1.4975,                0.75262,                 1.0467,                 0.8673,                0.78179,                0.85762,                0.52892,                 1.3981,                0.67662,                 1.0202,               0.008812,               0.008812,               0.008812
                     14,                  1.492,                0.74577,                 1.0442,                0.87297,                0.78088,                0.86035,                0.53378,                 1.3882,                0.66552,                  1.019,               0.008713,               0.008713,               0.008713
                     15,                 1.4929,                0.74492,                 1.0437,                0.87342,                0.79158,                0.86211,                0.53294,                 1.3808,                0.65319,                 1.0162,               0.008614,               0.008614,               0.008614
