                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.2775,                 1.2619,                 1.3365,                 0.7239,                0.59365,                0.67727,                0.35886,                 1.8045,                 1.0142,                 1.1803,               0.070015,              0.0033317,              0.0033317
                      1,                 1.8223,                 1.0132,                 1.1585,                0.74192,                0.63261,                 0.7065,                0.38225,                 1.7339,                0.99808,                 1.1704,               0.039949,              0.0065991,              0.0065991
                      2,                 1.7562,                0.96237,                 1.1343,                0.78107,                 0.6776,                0.76363,                0.43401,                 1.5932,                0.87637,                 1.1031,              0.0098166,              0.0098004,              0.0098004
                      3,                 1.7045,                 0.9191,                  1.113,                0.81287,                0.69946,                0.78606,                0.44762,                 1.5828,                0.85144,                 1.0905,               0.009703,               0.009703,               0.009703
                      4,                 1.6811,                 0.9016,                 1.1078,                0.80098,                 0.6995,                0.77398,                0.44033,                 1.5773,                0.83689,                 1.0955,               0.009703,               0.009703,               0.009703
                      5,                 1.6611,                0.88498,                 1.1007,                0.80693,                0.71492,                0.78848,                0.45461,                   1.55,                 0.8244,                 1.0813,               0.009604,               0.009604,               0.009604
                      6,                 1.6392,                0.86786,                 1.0906,                 0.8317,                0.72519,                 0.8139,                 0.4785,                 1.5087,                0.78936,                 1.0625,               0.009505,               0.009505,               0.009505
                      7,                 1.6256,                0.85484,                 1.0883,                0.83548,                0.73261,                0.81486,                0.48466,                 1.4996,                0.76426,                 1.0638,               0.009406,               0.009406,               0.009406
                      8,                 1.6041,                0.83786,                 1.0784,                0.83699,                0.73759,                0.82006,                0.48678,                 1.4789,                0.77079,                  1.053,               0.009307,               0.009307,               0.009307
                      9,                 1.5984,                0.83808,                 1.0791,                0.83947,                0.74171,                0.82268,                0.48826,                 1.4779,                0.75901,                 1.0542,               0.009208,               0.009208,               0.009208
                     10,                 1.5955,                0.82625,                 1.0771,                0.82973,                0.74379,                0.81973,                0.48964,                 1.4732,                 0.7666,                 1.0479,               0.009109,               0.009109,               0.009109
                     11,                 1.5885,                0.82552,                 1.0759,                0.84422,                0.75759,                0.83032,                0.49793,                 1.4671,                0.74895,                 1.0477,                0.00901,                0.00901,                0.00901
                     12,                 1.5747,                0.81279,                 1.0705,                0.83611,                0.75058,                0.82203,                0.49078,                 1.4626,                0.74553,                 1.0479,               0.008911,               0.008911,               0.008911
                     13,                 1.5699,                0.80978,                 1.0702,                0.85176,                0.75694,                0.83643,                0.50353,                 1.4509,                 0.7245,                 1.0428,               0.008812,               0.008812,               0.008812
                     14,                 1.5627,                0.80392,                 1.0664,                 0.8505,                0.75768,                0.83799,                0.50729,                 1.4408,                0.72128,                 1.0385,               0.008713,               0.008713,               0.008713
                     15,                 1.5732,                0.80706,                 1.0721,                0.84955,                0.75157,                 0.8348,                0.50376,                  1.445,                0.72607,                 1.0416,               0.008614,               0.008614,               0.008614
                     16,                 1.5616,                0.80062,                 1.0658,                0.84908,                0.75852,                0.83664,                0.50243,                 1.4361,                0.72928,                 1.0326,               0.008515,               0.008515,               0.008515
                     17,                 1.5538,                0.78934,                 1.0625,                0.86042,                0.76376,                0.84393,                0.51322,                 1.4239,                0.70113,                   1.03,               0.008416,               0.008416,               0.008416
