                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.1087,                 0.9611,                 1.3801,                0.83679,                0.79245,                0.88639,                0.62917,                 1.0654,                0.81848,                 1.4346,               0.006634,               0.006634,               0.006634
                     37,                 1.1045,                0.93844,                 1.3822,                0.87979,                 0.8212,                0.89832,                0.64032,                 1.0752,                 0.7638,                 1.4378,               0.006535,               0.006535,               0.006535
                     38,                 1.0994,                0.91566,                 1.3707,                 0.8701,                0.77434,                0.88706,                0.62969,                   1.06,                0.81379,                 1.4304,               0.006436,               0.006436,               0.006436
                     39,                 1.1049,                0.90173,                 1.3679,                0.86519,                0.80357,                0.89188,                0.63356,                 1.0622,                0.77777,                 1.4428,               0.006337,               0.006337,               0.006337
                     40,                 1.0947,                0.90892,                 1.3606,                0.89562,                0.81021,                 0.9083,                0.65517,                 1.0407,                0.74967,                 1.4154,               0.006238,               0.006238,               0.006238
                     41,                 1.0749,                0.86987,                 1.3655,                0.87875,                0.80612,                0.90412,                0.64548,                  1.055,                0.77055,                 1.4266,               0.006139,               0.006139,               0.006139
                     42,                 1.0921,                0.87911,                 1.3713,                0.90008,                 0.8452,                0.92518,                0.66662,                 1.0349,                0.69695,                 1.4177,                0.00604,                0.00604,                0.00604
                     43,                 1.1033,                0.85072,                 1.3787,                  0.899,                0.84349,                0.92026,                0.66291,                 1.0255,                0.70021,                 1.3947,               0.005941,               0.005941,               0.005941
                     44,                 1.0623,                 0.8421,                 1.3452,                 0.9068,                0.83817,                0.92138,                0.66555,                 1.0317,                0.70623,                 1.4134,               0.005842,               0.005842,               0.005842
                     45,                 1.0519,                0.83381,                 1.3489,                0.89265,                0.85288,                 0.9251,                0.67012,                 1.0365,                0.68548,                 1.4048,               0.005743,               0.005743,               0.005743
                     46,                 1.0492,                0.80438,                  1.333,                0.87753,                0.86608,                0.92387,                0.66896,                 1.0265,                 0.6871,                 1.3978,               0.005644,               0.005644,               0.005644
                     47,                 1.0672,                 0.8317,                 1.3543,                0.88389,                0.80645,                0.90974,                0.65837,                 1.0356,                0.73858,                 1.3999,               0.005545,               0.005545,               0.005545
                     48,                 1.0693,                 0.8282,                 1.3644,                0.86358,                0.80929,                0.89898,                0.64538,                 1.0367,                0.76018,                  1.416,               0.005446,               0.005446,               0.005446
                     49,                 1.0507,                0.80501,                 1.3406,                0.90735,                0.82739,                0.92075,                0.67128,                 1.0079,                0.70868,                 1.3797,               0.005347,               0.005347,               0.005347
                     50,                 1.0609,                  0.794,                 1.3334,                0.88897,                0.84423,                0.92595,                0.67142,                  1.024,                0.67641,                 1.3918,               0.005248,               0.005248,               0.005248
                     51,                 1.0463,                 0.7994,                 1.3323,                0.90937,                 0.8683,                0.93804,                0.68885,                 1.0021,                0.65388,                 1.3858,               0.005149,               0.005149,               0.005149
                     52,                 1.0408,                0.79452,                 1.3357,                0.89481,                0.84788,                0.92452,                0.67668,                 1.0001,                0.66476,                 1.3804,                0.00505,                0.00505,                0.00505
                     53,                 1.0486,                0.77265,                 1.3304,                0.91192,                0.86442,                0.93468,                0.67568,                 1.0195,                0.66365,                 1.4079,               0.004951,               0.004951,               0.004951
                     54,                  1.045,                 0.7659,                 1.3208,                0.89498,                0.85041,                0.92605,                0.67477,                      1,                0.65663,                 1.3795,               0.004852,               0.004852,               0.004852
                     55,                 1.0331,                0.75125,                 1.3195,                0.90172,                0.87978,                0.93839,                0.69064,                0.99343,                0.63098,                 1.3724,               0.004753,               0.004753,               0.004753
                     56,                 1.0277,                 0.7493,                 1.3202,                0.90568,                0.86115,                0.93765,                0.68726,                0.98325,                  0.639,                 1.3626,               0.004654,               0.004654,               0.004654
                     57,                 1.0301,                 0.7376,                 1.3101,                0.90959,                0.87043,                0.93829,                0.69291,                0.98294,                0.62812,                 1.3657,               0.004555,               0.004555,               0.004555
                     58,                 1.0303,                0.74046,                 1.3216,                0.90985,                0.87745,                0.94057,                0.68636,                0.99947,                0.62834,                   1.39,               0.004456,               0.004456,               0.004456
                     59,                 1.0393,                0.73984,                 1.3385,                0.90907,                0.89291,                0.94686,                0.69763,                0.97458,                0.59651,                 1.3594,               0.004357,               0.004357,               0.004357
                     60,                  1.014,                0.70549,                 1.3111,                0.88773,                 0.8984,                0.94394,                0.69351,                0.98459,                0.60385,                 1.3652,               0.004258,               0.004258,               0.004258
                     61,                 1.0212,                0.70306,                  1.307,                0.93357,                0.89011,                0.95308,                0.70207,                0.98307,                0.58944,                 1.3711,               0.004159,               0.004159,               0.004159
                     62,                 1.0069,                 0.6878,                 1.2996,                0.92053,                0.90383,                 0.9544,                0.70552,                0.97885,                0.56878,                 1.3566,                0.00406,                0.00406,                0.00406
                     63,                 1.0094,                0.68864,                 1.3064,                0.91751,                0.88795,                0.94899,                0.69747,                0.99245,                0.58847,                 1.3744,               0.003961,               0.003961,               0.003961
                     64,                 1.0125,                 0.6876,                 1.3053,                0.91057,                0.91341,                0.95198,                0.70646,                0.95865,                0.56983,                 1.3402,               0.003862,               0.003862,               0.003862
                     65,                0.98393,                0.66784,                 1.2914,                0.91407,                0.89689,                0.95005,                0.70273,                0.96985,                0.57467,                 1.3546,               0.003763,               0.003763,               0.003763
                     66,                0.99795,                0.67454,                 1.2919,                0.92759,                0.89614,                0.95395,                0.70481,                0.97516,                0.55672,                 1.3561,               0.003664,               0.003664,               0.003664
                     67,                0.99403,                0.66566,                  1.282,                0.93107,                 0.8774,                0.95244,                0.70779,                0.97104,                0.56954,                 1.3479,               0.003565,               0.003565,               0.003565
                     68,                0.97615,                0.64821,                 1.2952,                0.93039,                0.90865,                0.95405,                0.71142,                0.95746,                0.55156,                  1.336,               0.003466,               0.003466,               0.003466
                     69,                0.99014,                0.64654,                 1.2747,                0.93416,                0.90922,                0.95678,                0.71044,                0.95576,                0.54302,                 1.3338,               0.003367,               0.003367,               0.003367
                     70,                0.96749,                0.63194,                 1.2652,                0.92188,                 0.9009,                0.94991,                0.70167,                 0.9606,                0.56028,                 1.3397,               0.003268,               0.003268,               0.003268
                     71,                 0.9776,                0.64982,                 1.2987,                0.92711,                0.92117,                0.95839,                0.71459,                0.95274,                0.55041,                 1.3355,               0.003169,               0.003169,               0.003169
                     72,                0.97746,                0.64562,                  1.279,                0.92962,                0.90051,                0.95447,                0.71111,                0.94363,                0.55023,                 1.3333,                0.00307,                0.00307,                0.00307
                     73,                0.95803,                0.64844,                 1.2785,                0.93873,                 0.9097,                0.96143,                0.71945,                0.94832,                0.54302,                 1.3316,               0.002971,               0.002971,               0.002971
                     74,                0.96712,                0.62839,                 1.2695,                0.91853,                0.89973,                0.95503,                 0.7024,                0.95882,                0.56346,                 1.3385,               0.002872,               0.002872,               0.002872
                     75,                0.96086,                 0.6265,                 1.2702,                0.93221,                0.91945,                0.96214,                0.72283,                0.93826,                0.52436,                 1.3213,               0.002773,               0.002773,               0.002773
                     76,                0.96152,                0.63224,                 1.2784,                0.93859,                0.91039,                0.96107,                0.71576,                 0.9483,                0.53678,                 1.3277,               0.002674,               0.002674,               0.002674
