                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.4503,                0.69166,                 1.0495,                0.88852,                0.81121,                 0.8804,                0.55706,                 1.3383,                 0.5969,                 1.0176,               0.006634,               0.006634,               0.006634
                     36,                 1.4473,                0.68885,                 1.0475,                0.88638,                0.81183,                0.88058,                0.55848,                 1.3381,                0.59563,                  1.017,               0.006535,               0.006535,               0.006535
                     37,                 1.4409,                0.68406,                 1.0445,                0.88726,                0.81152,                0.88039,                0.55824,                 1.3382,                0.59273,                 1.0174,               0.006436,               0.006436,               0.006436
                     38,                 1.4488,                0.69253,                 1.0466,                0.88578,                0.81564,                0.88143,                0.55982,                 1.3336,                0.59287,                 1.0145,               0.006337,               0.006337,               0.006337
                     39,                 1.4423,                0.68373,                 1.0442,                0.88922,                0.81256,                0.88308,                 0.5602,                 1.3345,                0.59339,                 1.0148,               0.006238,               0.006238,               0.006238
                     40,                 1.4459,                0.68616,                 1.0472,                0.88652,                0.81393,                0.88308,                0.56096,                 1.3333,                0.59008,                 1.0139,               0.006139,               0.006139,               0.006139
                     41,                 1.4376,                0.68348,                 1.0453,                0.88704,                0.81421,                0.88176,                0.55979,                 1.3322,                0.59073,                 1.0144,                0.00604,                0.00604,                0.00604
                     42,                 1.4344,                0.68038,                 1.0418,                0.88888,                0.81649,                 0.8845,                0.56339,                 1.3289,                0.58505,                 1.0121,               0.005941,               0.005941,               0.005941
                     43,                 1.4314,                0.67622,                 1.0413,                0.88746,                0.81778,                0.88405,                0.56252,                 1.3284,                0.58577,                 1.0117,               0.005842,               0.005842,               0.005842
                     44,                 1.4254,                0.67379,                 1.0374,                0.88673,                0.81818,                 0.8845,                0.56282,                 1.3274,                 0.5834,                 1.0109,               0.005743,               0.005743,               0.005743
                     45,                  1.425,                0.67418,                 1.0367,                0.88991,                0.81887,                0.88614,                0.56467,                 1.3229,                0.58339,                 1.0095,               0.005644,               0.005644,               0.005644
