                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.5052,                0.74385,                 1.0644,                0.87149,                0.78642,                 0.8605,                0.53455,                 1.3814,                0.64732,                 1.0311,               0.006634,               0.006634,               0.006634
                     36,                 1.5038,                0.74006,                 1.0633,                0.87145,                0.78485,                0.86154,                0.53545,                 1.3798,                0.64644,                 1.0308,               0.006535,               0.006535,               0.006535
                     37,                 1.5017,                0.73979,                 1.0622,                0.87365,                0.78729,                0.86226,                0.53698,                 1.3797,                0.64268,                 1.0314,               0.006436,               0.006436,               0.006436
                     38,                 1.5092,                0.74637,                 1.0645,                0.87092,                0.78469,                0.86103,                0.53474,                 1.3793,                0.64424,                 1.0323,               0.006337,               0.006337,               0.006337
                     39,                 1.5016,                 0.7384,                 1.0625,                0.87313,                0.78902,                 0.8633,                0.53567,                  1.378,                0.64357,                 1.0296,               0.006238,               0.006238,               0.006238
                     40,                 1.5034,                0.73961,                 1.0643,                0.87399,                0.78854,                0.86423,                0.53813,                 1.3747,                0.64314,                 1.0287,               0.006139,               0.006139,               0.006139
                     41,                 1.4977,                0.73652,                 1.0626,                0.87593,                0.78885,                0.86386,                0.53782,                 1.3733,                0.64119,                 1.0288,                0.00604,                0.00604,                0.00604
                     42,                  1.499,                0.73815,                 1.0614,                0.87307,                0.79047,                0.86578,                0.53883,                 1.3754,                0.63994,                 1.0285,               0.005941,               0.005941,               0.005941
                     43,                 1.4929,                0.73317,                 1.0597,                0.87824,                0.78812,                0.86534,                0.53991,                 1.3734,                0.63752,                 1.0285,               0.005842,               0.005842,               0.005842
                     44,                 1.4872,                0.72681,                 1.0561,                0.87657,                0.79065,                0.86677,                0.54048,                 1.3703,                0.63337,                 1.0279,               0.005743,               0.005743,               0.005743
                     45,                 1.4815,                0.72458,                  1.053,                0.87586,                0.79224,                0.86755,                0.54184,                  1.368,                0.63464,                 1.0252,               0.005644,               0.005644,               0.005644
                     46,                 1.4863,                0.72838,                 1.0586,                0.87791,                0.79283,                0.86679,                0.54169,                 1.3678,                0.63062,                 1.0245,               0.005545,               0.005545,               0.005545
                     47,                 1.4848,                0.72437,                 1.0536,                0.87912,                0.79181,                0.86767,                0.54264,                 1.3675,                0.62837,                 1.0263,               0.005446,               0.005446,               0.005446
                     48,                 1.4875,                0.72652,                 1.0531,                0.87893,                0.79233,                0.86648,                0.54143,                 1.3668,                0.62921,                 1.0255,               0.005347,               0.005347,               0.005347
                     49,                 1.4904,                0.72875,                 1.0579,                0.87767,                0.79456,                 0.8678,                0.54234,                 1.3675,                0.62971,                 1.0263,               0.005248,               0.005248,               0.005248
                     50,                 1.4843,                0.72307,                 1.0563,                0.87907,                0.79449,                0.86783,                0.54246,                 1.3668,                0.62807,                 1.0252,               0.005149,               0.005149,               0.005149
                     51,                 1.4839,                0.72271,                 1.0565,                0.87675,                0.79687,                0.86674,                0.54255,                 1.3643,                0.62921,                 1.0237,                0.00505,                0.00505,                0.00505
                     52,                 1.4853,                0.71818,                 1.0509,                0.88052,                0.79399,                0.86791,                0.54377,                 1.3615,                0.62633,                 1.0234,               0.004951,               0.004951,               0.004951
                     53,                  1.479,                0.72013,                 1.0546,                0.87988,                0.79542,                0.86858,                0.54455,                 1.3628,                0.62487,                 1.0236,               0.004852,               0.004852,               0.004852
                     54,                 1.4759,                0.71473,                 1.0515,                0.88134,                0.79508,                0.86739,                0.54344,                 1.3616,                0.62472,                 1.0226,               0.004753,               0.004753,               0.004753
                     55,                 1.4713,                 0.7142,                 1.0501,                0.87779,                0.79693,                0.86888,                0.54488,                 1.3608,                0.62315,                 1.0227,               0.004654,               0.004654,               0.004654
                     56,                 1.4747,                 0.7159,                 1.0526,                0.87909,                0.79794,                0.86963,                0.54523,                  1.359,                0.62218,                 1.0218,               0.004555,               0.004555,               0.004555
                     57,                 1.4762,                0.71498,                   1.05,                0.88083,                 0.7954,                0.86933,                0.54504,                 1.3591,                0.62265,                 1.0218,               0.004456,               0.004456,               0.004456
                     58,                 1.4701,                0.71019,                 1.0496,                0.88065,                0.79737,                0.86954,                0.54576,                 1.3584,                0.62112,                 1.0211,               0.004357,               0.004357,               0.004357
                     59,                 1.4714,                 0.7106,                 1.0499,                0.87962,                0.79858,                0.87066,                0.54628,                  1.357,                0.61919,                 1.0208,               0.004258,               0.004258,               0.004258
                     60,                 1.4651,                0.70628,                 1.0477,                0.88255,                0.79735,                0.87041,                0.54653,                 1.3569,                0.61831,                  1.021,               0.004159,               0.004159,               0.004159
                     61,                 1.4672,                0.70977,                 1.0487,                0.88227,                0.79981,                0.87214,                0.54696,                 1.3571,                0.61761,                 1.0203,                0.00406,                0.00406,                0.00406
                     62,                 1.4722,                0.71224,                 1.0492,                 0.8824,                0.79958,                0.87218,                0.54705,                 1.3568,                0.61713,                 1.0203,               0.003961,               0.003961,               0.003961
                     63,                  1.467,                  0.707,                 1.0487,                0.88146,                0.79976,                0.87104,                0.54663,                 1.3557,                0.61648,                   1.02,               0.003862,               0.003862,               0.003862
                     64,                 1.4693,                0.70869,                 1.0485,                0.88355,                 0.7991,                0.87259,                0.54741,                 1.3553,                0.61603,                 1.0196,               0.003763,               0.003763,               0.003763
                     65,                 1.4638,                0.70466,                 1.0463,                0.88213,                0.79957,                0.87201,                0.54802,                 1.3548,                0.61538,                 1.0194,               0.003664,               0.003664,               0.003664
